"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"217",12,"Albert Wilson",FA,"138","168","153.0","15.0","-"
"218",12,"Andy Isabella",ARI,"169","190","181.7","9.1","-"
"219",12,"Cornell Powell",KC,"179","227","195.0","19.4","-"
"220",12,"Makai Polk",BAL,"174","208","186.3","15.4","-"
"221",12,"Isaiah Hodgins",BUF,"165","208","187.3","17.6","-"
"222",12,"DJ Turner",LV,"163","259","196.0","44.6","-"
"223",12,"Dontario Drummond",DAL,"160","172","166.0","6.0","-"
"224",12,"C.J. Board",NYG,"179","204","189.3","10.7","-"
"225",12,"Slade Bolden",FA,"184","201","191.7","7.0","-"
"226",12,"Keke Coutee",IND,"181","240","204.5","22.3","-"
"227",12,"Cody Hollister",TEN,"177","242","205.3","26.6","-"
"228",12,"Jalen Camp",HOU,"182","205","193.7","9.4","-"
"229",12,"Alex Erickson",WAS,"191","197","193.7","2.5","-"
"230",12,"Brandon Powell",LAR,"175","236","204.5","26.4","-"
"231",12,"Travis Fulgham",GB,"125","245","185.0","60.0","-"
"232",12,"Gunner Olszewski",PIT,"159","234","197.3","30.6","-"
"233",12,"Johnny Johnson III",HOU,"168","191","179.5","11.5","-"
"234",12,"D.J. Montgomery",FA,"165","198","181.5","16.5","-"
"235",12,"Isaiah Coulter",CHI,"167","276","213.0","46.1","-"
"236",12,"Alex Bachman",NYG,"165","205","185.0","20.0","-"
"237",12,"Tom Kennedy",DET,"184","187","185.5","1.5","-"
"238",13,"Geronimo Allison",FA,"178","206","192.0","14.0","-"
"239",13,"Frank Darby",ATL,"175","211","193.0","18.0","-"
"240",13,"Andre Roberts",CAR,"187","202","194.5","7.5","-"
"241",13,"Cameron Batson",ATL,"177","217","197.0","20.0","-"
"242",13,"Deven Thompkins",TB,"190","311","235.3","53.9","-"
"243",13,"Kirk Merritt",NO,"178","218","198.0","20.0","-"
"244",13,"Marquez Stevenson",BUF,"163","253","208.0","45.0","-"
"245",13,"Trenton Irwin",CIN,"193","247","214.3","23.5","-"
"246",13,"Marcus Kemp",NYG,"198","204","201.0","3.0","-"
"247",13,"Charleston Rambo",CAR,"171","291","231.0","60.0","-"
"248",13,"Dan Chisena",MIN,"201","313","239.3","52.1","-"
"249",13,"Kristian Wilkerson",NE,"173","299","236.0","63.0","-"
"250",13,"J.J. Arcega-Whiteside",SEA,"182","282","232.0","50.0","-"
"251",13,"Brandon Johnson",DEN,"182","296","239.0","57.0","-"
"252",13,"David Sills V",NYG,"185","238","211.5","26.5","-"
"253",13,"Dareke Young",SEA,"185","314","249.5","64.5","-"
"254",13,"Devon Allen",PHI,"192","228","210.0","18.0","-"
"255",13,"Tarik Black",NYJ,"189","303","246.0","57.0","-"
"256",13,"KeeSean Johnson",ATL,"192","243","217.5","25.5","-"
"257",13,"Deon Cain",PHI,"199","229","214.0","15.0","-"
"258",13,"Michael Woods II",FA,"198","249","223.5","25.5","-"
"259",13,"Michael Bandy",LAC,"201","286","243.5","42.5","-"
"260",13,"Daurice Fountain",KC,"202","278","240.0","38.0","-"
"261",14,"Tre Nixon",NE,"214","283","248.5","34.5","-"
"262",14,"Tyrie Cleveland",DEN,"220","302","261.0","41.0","-"
"263",14,"Trishton Jackson",MIN,"224","290","257.0","33.0","-"
"264",14,"Steven Sims Jr.",PIT,"228","261","244.5","16.5","-"
"265",14,"Rashid Shaheed",NO,"230","246","238.0","8.0","-"
